dword	text	END
Count	descript	
0	Первое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
1	Второе кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
2	Третье кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
3	Четвертое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
4	Пятое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
5	Первое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
6	Второе кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
7	Третье кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
8	Четвертое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
9	Пятое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
10	Первое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
11	Второе кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
12	Третье кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
13	Четвертое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
14	Пятое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
15	Первое кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Кольца Баал-Хамона и Посох Баал-Хамона.	
16	Второе кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Кольца Баал-Хамона и Посох Баал-Хамона.	
17	Первое кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
18	Второе кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
19	Третье кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
20	Первое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
21	Второе кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
22	Третье кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
23	Четвертое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
24	Пятое кольцо, содержащее в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Кольца.	
25	Первое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
26	Второе кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
27	Третье кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
28	Четвертое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
29	Пятое кольцо, созданное из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Кольца.	
30	Первое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
31	Второе кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
32	Третье кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
33	Четвертое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
34	Пятое кольцо, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Кольца.	
35	Первое кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Кольца Баал-Хамона и Посох Баал-Хамона.	
36	Второе кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Кольца Баал-Хамона и Посох Баал-Хамона.	
37	Первое кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
38	Второе кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
39	Третье кольцо, созданное известным мастером для Баал-Хамона. Является частью набора - два Могущественных Кольца Баал-Хамона и Клинок Баала.	
40	Первый браслет, содержащий в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Браслета.	
41	Второй браслет, содержащий в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Браслета.	
42	Третий браслет, содержащий в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Браслета.	
43	Четвертый браслет, содержащий в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Браслета.	
44	Пятый браслет, содержащий в себе частичку смертоносного тумана. Является частью набора ювелирных украшений - два Кулона Мутантов и два Туманных Браслета.	
45	Первый браслет, созданный из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Браслета.	
46	Второй браслет, созданный из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Браслета.	
47	Третий браслет, созданный из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Браслета.	
48	Четвертый браслет, созданный из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Браслета.	
49	Пятый браслет, созданный из кристалла памяти. Является частью набора ювелирных украшений - два Кулона Шторма и два Туманных Браслета.	
50	Первый браслет, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Браслета.	
51	Второй браслет, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Браслета.	
52	Третий браслет, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Браслета.	
53	Четвертый браслет, из ювелирных украшений расы Калиан. Является частью набора ювелирных украшений - два Кулона Вампира и два Туманных Браслета.	
